id lang,language,id marker,domain,value,marker,base,cumulative,strategy,id lex distr,lex distr,productivity,oblig,functions,target,additional,comment,page
1,Kunama,1,pronominal,1,cumulative stem alternation,,cumulative with person,irregular stem alternation,1,personal pronouns,closed class,obligatory,person number,same,1/2/3 person,,341
1,Kunama,2,pronominal,2,vowel redupliaction / gemination,=plural,non-cumulative,regular alternation,1,personal pronouns,closed class,obligatory,person number,same,1/2/3 person,,341
1,Kunama,3,pronominal,>2,cumulative stem alternation,,cumulative with person,irregular stem alternation,1,personal pronouns,closed class,obligatory,person number,same,1/2/3 person,,341
1,Kunama,4,nominal,>1,stress on the suffix,=singular,non-cumulative,regular alternation,2,nouns,open class,obligatory,number,POSS,,,342
1,Kunama,5,nominal,1,-a,,non-cumulative,suffixation,2,nouns,open class,obligatory,number,same,,,338-339
1,Kunama,6,nominal,>1,-e,,non-cumulative,suffixation,2,nouns,open class,obligatory,number,same,,,338-339
1,Kunama,7,attributive,1,-a,,non-cumulative,suffixation,3,adnominal adjectives and some interrogatives and demonstratives,open class,obligatory,number,head NP,,,339
1,Kunama,8,attributive,>1,-e,,non-cumulative,suffixation,3,adnominal adjectives and some interrogatives and demonstratives,open class,obligatory,number,head NP,,,339
1,Kunama,9,predicative,1,cumulative suffixation,,cumulative with person,suffixation,4,class I verbs (mostly intransitive),open class,obligatory,indexing,S/A?,1/2/3 person,,341
1,Kunama,10,predicative,>1,cumulative suffixation,,cumulative with person,suffixation,4,class I verbs (mostly intransitive),open class,obligatory,indexing,S/A?,1/2/3 person,,341
1,Kunama,11,predicative,1,cumulative prefixation,,cumulative with person,prefixation,5,class II verbs (mostly transitive),open class,optional?,indexing,S?/A,1/2/3 person,can be replaced with object prefixes,341
1,Kunama,12,predicative,2,cumulative prefixation,,cumulative with person,prefixation,5,class II verbs (mostly transitive),open class,optional?,indexing,S?/A,1/2/3 person,can be replaced with object prefixes,341
1,Kunama,13,predicative,>2,cumulative prefixation,,cumulative with person,prefixation,5,class II verbs (mostly transitive),open class,optional?,indexing,S?/A,1/2/3 person,can be replaced with object prefixes,341
1,Kunama,14,predicative,>1,vowel reduplication,=unspecified,non-cumulative,regular alternation,6,some class II verbs (transitive),closed class,optional?,part number,P,1+2 person,"if the subject is 2nd or 3rd person,",341
1,Kunama,15,predicative,2,stem alternation,,non-cumulative,irregular stem alternation,7,some class II verbs (mostly transitive),closed class,obligatory?,part number,S/A,,,340
1,Kunama,16,predicative,>2,stem alternation,,non-cumulative,irregular stem alternation,7,some class II verbs (mostly transitive),closed class,obligatory?,part number,S/A,,,340
1,Kunama,17,predicative,>1,-l-/-n-,=unspecified,non-cumulative,infixation?,8,NC,closed class,NC,part number,S/A,,,340
1,Kunama,18,predicative,>1,(i)n(a)-,=unspecified,non-cumulative,prefixation,9,class II verbs (mostly transitive),open class,NC,part number,P,,,340
1,Kunama,19,predicative,>1,partial reduplication,=unspecified,non-cumulative,regular alternation,11,class II verbs with a double consonant,open class?,NC,part number,P,,,340
2,Ama (Sudan),1,nominal,>1,stem alternation,,non-cumulative,irregular stem alternation,1,a few human nouns,closed class,obligatory?,number,same,,,20
2,Ama (Sudan),2,nominal,many??,partial reduplication,=unspecified,non-cumulative,regular alternation,2,nouns and some adjectives,open class,optional,distr,same,,,20-21
2,Ama (Sudan),3,pronominal,1,cumulative stem alternation,,cumulative with person and case,irregular stem alternation,3,personal pronouns,closed class,obligatory?,person number,same,"1/2/3 person, nom/acc/gen/dep.g/dat/abl/loc",,83
2,Ama (Sudan),4,pronominal,>1,cumulative stem alternation,,cumulative with person and case,irregular stem alternation,3,personal pronouns,closed class,obligatory?,person number,same,"1/2/3 person, nom/acc/gen/dep.g/dat/abl/loc",,83
2,Ama (Sudan),5,pronominal,>1,-ŋi,=singular,non-cumulative,suffixation?,4,who',closed class,obligatory?,number,same,,also occurs on some plural noun forms in other Nyimang languages,90
2,Ama (Sudan),5,predicative,2,-in,=unspecified,non-cumulative,suffixation,5,many verbs,open class,optional?,part number,S/A/P,,"gradually going out of use, singular or plural may be used instead",104
2,Ama (Sudan),6,predicative,>1?,-di,=unspecified,non-cumulative,suffixation,5,many verbs,open class,obligatory?,part number,S/A?/P,,,104
3,Chipewyan,1,pronominal,1,cumulative stem alternation,,cumulative with person,irregular stem alternation,1,personal pronouns,closed class,obligatory,person number,same,1/2/3 person,,94
3,Chipewyan,2,pronominal,>1,cumulative stem alternation,,cumulative with person,irregular stem alternation,1,personal pronouns,closed class,obligatory?,person number,same,1+2 person,,94
3,Chipewyan,3,nominal,1,cumulative prefixation,,cumulative with person,prefixation,2,nouns,open class,obligatory,person number,POSS,1/2/3 person,,114-118
3,Chipewyan,4,nominal,>1,cumulative prefixation,,cumulative with person,prefixation,2,nouns,open class,optional?,person number,POSS,1+2/3 person,optional for 3 person,114-118
3,Chipewyan,5,predicative,1,cumulative prefixation,,cumulative with person,prefixation,3,verbs,open class,obligatory?,indexing,S/A,1/2/3 person,,118-120
3,Chipewyan,6,predicative,>1,cumulative prefixation,,cumulative with person,prefixation,3,verbs,open class,obligatory?,indexing,S/A,1/2/3 person,,118-120
3,Chipewyan,7,predicative,1,cumulative prefixation,,cumulative with person,prefixation,4,transitive verbs,open class,obligatory?,indexing,P,1/2 person,,120-124
3,Chipewyan,8,predicative,>1,cumulative prefixation,,cumulative with person,prefixation,4,transitive verbs,open class,obligatory?,indexing,P,1+2 person,,120-124
3,Chipewyan,9,predicative,>1,he-,=singular,cumulative with person,prefixation,5,verbs,open class,optional,indexing,S/A,3 person,,183
3,Chipewyan,10,predicative,>2,dá-,=plural/singular,non-cumulative,prefixation,6,verbs,open class,optional,distr,S/A/P,,,203-205
3,Chipewyan,11,predicative,2,stem alternation,,non-cumulative,irregular stem alternation,7,"sit', 'walk'",closed class,obligatory,part number,S,,,240-242
3,Chipewyan,12,predicative,>2,stem alternation,,non-cumulative,irregular stem alternation,7,"sit', 'walk'",closed class,obligatory,part number,S,,,240-242
3,Chipewyan,13,predicative,1 or 2,stem alternation,,non-cumulative,irregular stem alternation,8,some verbs,closed class,obligatory,part number,S/?,,,240-242
3,Chipewyan,14,predicative,>2,stem alternation,,non-cumulative,irregular stem alternation,8,some verbs,closed class,obligatory,part number,S/?,,,240-242
3,Chipewyan,15,predicative,>1,stem alternation,,non-cumulative,irregular stem alternation,9,some verbs,closed class,obligatory,part number,S/?,,,240-242
4,Navajo,1,pronominal,1,cumulative stem alternation,,cumulative with person,irregular stem alternation,1,personal pronouns,closed class,obligatory,person number,same,1/2/3 person,,8
4,Navajo,2,pronominal,>1,cumulative stem alternation,,cumulative with person,irregular stem alternation,1,personal pronouns,closed class,obligatory,person number,same,1/2 person,,8
4,Navajo,8,nominal,>1,-ké,=unspecified,non-cumulative,suffixation,2,kinship terms and some human nouns,closed class,optional?,number,same,,,7
4,Navajo,9,nominal,>1,stem alternation,,non-cumulative,irregular stem alternation,3,"‘person, tribe, nation’, ‘adult male’",closed class,obligatory?,number,same,,,8
4,Navajo,3,predicative,1,cumulative prefixation,,cumulative with person,prefixation,4,verbs,open class,obligatory,indexing,S/A,1/2 person,,112-116
4,Navajo,4,predicative,>1,cumulative prefixation,,cumulative with person,prefixation,4,verbs,open class,obligatory,indexing,S/A,1/2 person,,112-116
4,Navajo,5,predicative,2,stem alternation,,non-cumulative,irregular stem alternation,5,some verbs,closed class,NC,part number,S/?,,,143
4,Navajo,6,predicative,>2,stem alternation,,non-cumulative,irregular stem alternation,5,some verbs,closed class,NC,coll?,S/?,,,143
4,Navajo,7,predicative,>2,da-,=plural/singular,non-cumulative,prefixation,6,all word classes,open class,NC,distr,S/A/P,,,62-64
5,North Slavey,1,pronominal,1,cumulative stem alternation,,cumulative with person,irregular stem alternation,1,personal pronouns,closed class,obligatory,person number,same,1/2/3 person,,253-261
5,North Slavey,2,pronominal,>1,cumulative stem alternation,,cumulative with person,irregular stem alternation,1,personal pronouns,closed class,obligatory,person number,same,1+2/3 person,,253-261
5,North Slavey,3,pronominal,1,cumulative stem alternation,,cumulative with person,irregular stem alternation,2,possessive pronouns,closed class,obligatory,person number,same,1/2/3/4 person,,253-261
5,North Slavey,4,pronominal,>1,cumulative stem alternation,,cumulative with person,irregular stem alternation,2,possessive pronouns,closed class,obligatory,person number,same,1+2/3/4 person,,253-261
5,North Slavey,5,nominal,>1,-ke,=unspecified,non-cumulative,suffixation,3,"nouns for humans and dogs, demonstratives",open class,optional,number,same,,,247-248
5,North Slavey,6,predicative,>1,ke-,=unspecified,cumulative with person,prefixation,4,verbs,open class,optional,indexing,S/A,"3 person, human ",,623
5,North Slavey,7,predicative,1,cumulative prefixation,,cumulative with person,prefixation,5,verbs,open class,obligatory,indexing,S/A,1/2 person,,471-485
5,North Slavey,8,predicative,>1,cumulative prefixation,,cumulative with person,prefixation,5,verbs,open class,obligatory,indexing,S/A,1/2 person,1pl in Bearlake dialect is generally restricted to dual,471-485
5,North Slavey,9,predicative,1,cumulative prefixation,,cumulative with person,prefixation,6,transitive verbs,open class,obligatory,indexing,P,1/2/3 person,,627-642
5,North Slavey,10,predicative,>1,cumulative prefixation,,cumulative with person,prefixation,6,transitive verbs,open class,obligatory,indexing,P,1+2/3 person,,627-642
5,North Slavey,11,predicative,2,łéh-,=singular,non-cumulative,prefixation,7,some verbs (mostly verbs of movement),closed class,obligatory,part number,S/P?,,,623-227
5,North Slavey,12,predicative,>2,go-,=singular,non-cumulative,prefixation,7,some verbs (mostly verbs of movement),closed class,obligatory,part number,S/P?,,,623-227
5,North Slavey,13,predicative,2,stem alternation,,non-cumulative,irregular stem alternation,8,"be seated, go (controlled), go (uncontrolled), fall, ...",closed class,obligatory,part number,S/P?,,,790-793
5,North Slavey,14,predicative,>2,stem alternation,,non-cumulative,irregular stem alternation,8,"be seated, go (controlled), go (uncontrolled), fall, ...",closed class,obligatory,part number,S/P?,,,790-793
5,North Slavey,15,predicative,>1,stem alternation,,non-cumulative,irregular stem alternation,9,"eat, swim, ...",closed class,obligatory,part number,S/P?,,,790-793
5,North Slavey,16,predicative,1 or 2,stem alternation,,non-cumulative,irregular stem alternation,10,"sleep, die...",closed class,obligatory,part number,S/P?,,,790-793
5,North Slavey,17,predicative,>2,stem alternation,,non-cumulative,irregular stem alternation,10,"sleep, die...",closed class,obligatory,part number,S/P?,,,790-793
5,North Slavey,18,predicative,NC,yá-,=unspecified,non-cumulative,prefixation,11,vebrs,open class,optional?,"distr, intra",S/P,,,677-703
6,Sarsi,1,pronominal,1,cumulative stem alternation,,cumulative with person,irregular stem alternation,1,personal pronouns,closed class,obligatory,person number,same,,,62
6,Sarsi,2,pronominal,>1,cumulative stem alternation,,cumulative with person,irregular stem alternation,1,personal pronouns,closed class,obligatory,person number,same,,,62
6,Sarsi,3,attributive,1,cumulative stem alternation,,cumulative with spatial series,irregular stem alternation,2,demonstratives,closed class,obligatory,number,same,,,72-75
6,Sarsi,4,attributive,>1,cumulative stem alternation,,cumulative with spatial series,irregular stem alternation,2,demonstratives,closed class,obligatory,number,same,,,72-75
6,Sarsi,5,nominal,>1,-ká,=unspecified,non-cumulative,suffixation,3,mostly kinship terms and terms referring to a reciprocal relationship that is marked by a special prefix,open class,optional?,number,same,,,66
6,Sarsi,6,nominal,>1,-yìná,=unspecified,non-cumulative,suffixation,4,"kinship terms, personal names, and after a demonstrative",open class,optional?,"associative, collective, deference",same,,,66
6,Sarsi,7,nominal,>1,stem alternation,,non-cumulative,irregular stem alternation,5,several human nouns,closed class,NC,number,same,,,67
6,Sarsi,8,predicative,1,cumulative prefixation,,cumulative with person,prefixation,6,verbs,open class,obligatory?,indexing,S/A,1/2 person,,193
6,Sarsi,9,predicative,>1,cumulative prefixation,,cumulative with person,prefixation,6,verbs,open class,obligatory?,indexing,S/A,1/2 person,,193
6,Sarsi,10,predicative,1,cumulative prefixation,,cumulative with person,prefixation,7,transitive verbs,open class,obligatory?,indexing,P,1/2 person,,196-197
6,Sarsi,11,predicative,>1,cumulative prefixation,,cumulative with person,prefixation,7,transitive verbs,open class,obligatory?,indexing,P,1/2 person,,196-197
6,Sarsi,12,predicative,>1,cumulative prefixation,,cumulative with person,prefixation,8,verbs,open class,optional,indexing,S/A/P,3 person,,194-196
6,Sarsi,13,predicative,1 or 2,stem alternation,,non-cumulative,irregular stem alternation,9,several verbs (intransitive/transitive),closed class,obligatory?,part number,S/P,,,56-59
6,Sarsi,14,predicative,>2,stem alternation,,non-cumulative,irregular stem alternation,9,several verbs (intransitive/transitive),closed class,obligatory?,"part number, accompanied action with sg subject",S/P,,,56-59
6,Sarsi,15,predicative,2,stem alternation,,non-cumulative,irregular stem alternation,10,a few intransitive verbs,closed class,obligatory?,part number,S,,,56-59
6,Sarsi,16,predicative,>2,stem alternation,,non-cumulative,irregular stem alternation,10,a few intransitive verbs,closed class,obligatory?,part number,S,,,56-59
6,Sarsi,17,predicative,>2,da-,=non-plural/unspecified/plural [3+],non-cumulative,prefixation,11,some verbs,open class,NC,part number,S/P,,,Cook 1974: 109
7,Kaska,1,pronominal,1,cumulative prefixation,,cumulative with person,irregular stem alternation,1,personal pronouns,closed class,obligatory?,person number,same,1/2/3 person,,386
7,Kaska,2,pronominal,>1,cumulative stem alternation,,cumulative with person,irregular stem alternation,1,personal pronouns,closed class,obligatory?,person number,same,1/2/3 person,,386
7,Kaska,3,pronominal,1,cumulative stem alternation,,cumulative with person,irregular stem alternation,2,oblique object pronouns used with postpositions,closed class,obligatory?,person number,same,1/2/3 person,,396
7,Kaska,4,pronominal,>1,cumulative stem alternation,,cumulative with person,irregular stem alternation,2,oblique object pronouns used with postpositions,closed class,obligatory?,person number,same,1/2/3 person,,396
7,Kaska,3,nominal,1,cumulative prefixation,,cumulative with person,prefixation,3,nouns,open class,obligatory?,person number,POSS,1/2/3 person,,372-375
7,Kaska,4,nominal,>1,cumulative prefixation,,cumulative with person,prefixation,3,nouns,open class,obligatory?,person number,POSS,1/2/3 person,,372-375
7,Kaska,5,predicative,1,cumulative prefixation,,cumulative with person,prefixation,4,verbs,open class,obligatory?,indexing,S/A,1/2/3 person,,"469, 546"
7,Kaska,6,predicative,>1,cumulative prefixation,,cumulative with person,prefixation,4,verbs,open class,obligatory?,indexing,S/A,1/2/3 person,,"469, 546"
7,Kaska,7,predicative,1,cumulative prefixation,,cumulative with person,prefixation,5,transitive verbs,open class,obligatory?,indexing,P,1/2/3 person,,549
7,Kaska,8,predicative,>1,cumulative prefixation,,cumulative with person,prefixation,5,transitive verbs,open class,obligatory?,indexing,P,1/2/3 person,,549
7,Kaska,9,predicative,2,łe-,,non-cumulative,prefixation,6,sit',closed class,obligatory?,part number,S,,,557
7,Kaska,10,predicative,>2,ne- / ye-,=non-plural,non-cumulative,prefixation,7,a number of verbs,open class,NC,"part number, intra?",S/A ?,,,557; 561
7,Kaska,11,predicative,2,stem alternation,,non-cumulative,irregular stem alternation,8,"some verbs (‘walk around’, ‘sit’, ‘go along’)",closed class,optional?,"part number, ""social solidarity""",S ?,,,84
7,Kaska,12,predicative,>2,stem alternation,,non-cumulative,irregular stem alternation,8,"some verbs (‘walk around’, ‘sit’, ‘go along’)",closed class,optional?,"part number, ""social solidarity""",S ?,,,84
8,Tahltan,1,pronominal,1,cumulative stem alternation,,cumulative with person,irregular stem alternation,1,oblique object pronouns used with postpositions,closed class,obligatory?,person number,same,1/2/3 person,,18
8,Tahltan,2,pronominal,>1,cumulative stem alternation,,cumulative with person,irregular stem alternation,1,oblique object pronouns used with postpositions,closed class,obligatory?,person number,same,1/2/3 person,,18
8,Tahltan,3,nominal,1,cumulative prefixation,,cumulative with person,prefixation,2,nouns,open class,obligatory?,person number,POSS,1/2/3 person,,14
8,Tahltan,4,nominal,>1,cumulative prefixation,,cumulative with person,prefixation,2,nouns,open class,obligatory?,person number,POSS,1/2/3 person,,14
8,Tahltan,5,predicative,1,cumulative prefixation,,cumulative with person,prefixation,3,verbs,open class,obligatory?,indexing,S/A,1/2 person,,16
8,Tahltan,6,predicative,>1,cumulative prefixation,,cumulative with person,prefixation,3,verbs,open class,obligatory?,indexing,S/A,1/2 person,,16
8,Tahltan,7,predicative,1,cumulative prefixation,,cumulative with person,prefixation,4,transitive verbs,open class,obligatory?,indexing,P,1/2/3 person,,18
8,Tahltan,8,predicative,>1,cumulative prefixation,,cumulative with person,prefixation,4,transitive verbs,open class,obligatory?,indexing,P,1+2/3 person,,18
8,Tahltan,9,predicative,many??,da-,=unspecified,non-cumulative,prefixation,5,some verbs,NC,optional?,"coll S/A, distr P ?",S/A/P ?,,“can refer to action done separately on plural objects or collectively on plural subjects”,18
8,Tahltan,10,predicative,2,stem alternation,,non-cumulative,irregular stem alternation,6,"some verbs  (‘sit’, ‘go’, ‘come’)",closed class,obligatory?,part number,S ?,,,Nater 2006: 55; Cook 1973: 102
8,Tahltan,11,predicative,>2,stem alternation,,non-cumulative,irregular stem alternation,6,"some verbs  (‘sit’, ‘go’, ‘come’)",closed class,obligatory?,part number,S ?,,,Nater 2006: 55; Cook 1973: 102
9,Karuk,1,nominal,1,cumulative prefixation,,cumulative with person,prefixation,1,nouns,closed class,obligatory,person number,POSS,,,56
9,Karuk,2,nominal,>1,cumulative prefixation,,cumulative with person,prefixation,1,nouns,closed class,obligatory,person number,POSS,,,56
9,Karuk,3,nominal,>1,-sa(s) ,=unspecified,non-cumulative,suffixation,2,human nouns and independent adjectives,open class,optional,number,same,,,81
9,Karuk,4,predicative,1,cumulative prefication or circumfixation,,"cumulative with person, mood and indexing",prefixation or circumfixation,3,verbs,open class,obligatory,indexing,S/A+P,,some verbs do not take some markers (mostly preson-based restrictions),58-60
9,Karuk,5,predicative,>1,cumulative prefication or circumfixation,,"cumulative with person, mood and indexing",prefixation or circumfixation,3,verbs,open class,obligatory,indexing,S/A+P,,some verbs do not take some markers (mostly preson-based restrictions),58-60
9,Karuk,6,predicative,2,stem alternation,,non-cumulative,irregular stem alternation,4,several verbs 1,closed class,obligatory,part number,S,,,88
9,Karuk,7,predicative,>2,stem alternation,,non-cumulative,irregular stem alternation,4,several verbs 1,closed class,obligatory,part number,S,,,88
9,Karuk,8,predicative,>1,stem alternation,,non-cumulative,irregular stem alternation,5,several verbs 2,closed class,obligatory,part number,P,inimate ,,88
9,Karuk,9,predicative,1,ik-,,non-cumulative,prefixation?,6,several verbs (intransitive?),closed class,obligatory?,part number,S,,,86
9,Karuk,10,predicative,2,iθ-,,non-cumulative,prefixation?,6,several verbs (intransitive?),closed class,obligatory?,part number,S,,,86
9,Karuk,11,predicative,>1,-na,=unspecified,non-cumulative,suffixation,7,"personal and ""transpersonal"" verbs",open class,optional,part number?,S/A?/P ,mostly human,,112-113
9,Karuk,12,predicative,>1,-ar-a-hi,=unspecified,non-cumulative,suffixation,8,not restricted,open class,optional,collective,S/A,,,85
9,Karuk,13,predicative,NC,-va,=unspecified,non-cumulative,suffixation,9,not restricted,open class,optional,"distr, intra, inter",S?,,,92-93
10,Western Keres,1,nominal,>1,-ty'itra,=unspecified,non-cumulative,suffixation,1,not restricted,open class,optional,coll,same,,,66-75
10,Western Keres,2,nominal,>1,-dyeimishe,=unspecified,non-cumulative,suffixation,2,possessed nouns,open class,optional,number,same,,,66-75
10,Western Keres,3,nominal,1,cumulative prefixation,,cumulative with person,prefixation,3,common nouns and kinship terms,open class,obligatory,person number,POSS,,,64
10,Western Keres,4,nominal,2,cumulative prefixation,,cumulative with person,prefixation,3,common nouns and kinship terms,open class,obligatory,person number,POSS,,,64
10,Western Keres,5,nominal,>2,cumulative prefixation,,cumulative with person,prefixation,3,common nouns and kinship terms,open class,obligatory,person number,POSS,,,64
10,Western Keres,6,predicative,2,-nɨ,=singular,non-cumulative,suffixation,4,"transitive, reflexive, reciprocal, benefactive, and some intransitive verb themes",open class,obligatory,part number,S/A,,,188-218
10,Western Keres,7,predicative,>2,-na,=singular,non-cumulative,suffixation,4,"transitive, reflexive, reciprocal, benefactive, and some intransitive verb themes",open class,obligatory,part number,S/A,,,188-218
10,Western Keres,8,predicative,2,stem alternation,,non-cumulative,irregular stem alternation,5,"transitive, benefactive, passive and some intransitive themes",open class,optional?,part number,S/P,,,188-218
10,Western Keres,9,predicative,>2,stem alternation,,non-cumulative,irregular stem alternation,5,"transitive, benefactive, passive and some intransitive themes",open class,optional?,part number,S/P,,,188-218
10,Western Keres,10,predicative,1,cumulative suffixation,,"cumulative with person, role, mood, and polarity",suffixation,6,some verbs,closed class,obligatory?,indexing,S/A/P,,,218-240
