id lang,language,ISO,glottocode,genus,macro-area,latitude,longitude,short reference,source,reference
1,Kunama,kun,kuna1268,Kunama,Africa,14.5879,37.5292,Tucker & Bryan 1966,"Tucker, Archibald N. & Margaret A. Bryan. (1966) Linguistic Analyses: The Non-Bantu Languages of North-Eastern Africa (Handbook of African Languages). 2nd edn. London: Oxford University Press.",Veselinova 2013; Inman & Vuillermet 2024
2,Ama (Sudan),nyi,amas1236,Nyimang,Africa,12.0993,29.4332,Stevenson 1938,"Stevenson, Roland C. (1938) A grammar of the Nyimang language (Nuba Mountains). Ms.",Dimmendaal 2014
3,Chipewyan,chp,chip1261,Athapaskan,North America,58.98,-104.44,Cook 2004,"Cook, Eung-Do. (2004) A grammar of Dëne Dene Sųłiné (Chipewyan) (Algonquian and Iroquoian Linguistics : Memoir 17). Winnipeg, MB: University of Manitoba.",Corbett 2000
4,Navajo,nav,nava1243,Athapaskan,North America,36.33,-109.38,Young & Morgan 1987,"Young, Robert W. & William Morgan Sr. (1987) The Navajo Language: A Grammar and Colloquial Dictionary. Albuquerque: University of New Mexico Press. Revised edition.",Corbett 2000; Veselinova 2013; Cabredo 2010; Mattiola 2019; Inman & Vuillermet 2024
5,North Slavey,scs,nort2942,Athapaskan,North America,63.5,-125.67,Rice 1989,"Rice, Keren. 1989. A Grammar of Slave. (Mouton Grammar Library, 5.) Berlin, New York: Berlin: Mouton de Gruyter. doi: 10.1515/9783110861822.",Corbett 2000; Veselinova 2013; Inman & Vuillermet 2024
6,Sarsi,srs,sars1236,Athapaskan,North America,50.8822,-114.301,Cook 1984,"Cook, Eung-Do. 1984. A Sarcee Grammar. Vancouver: University of British Columbia Press.",Corbett 2000
7,Kaska,kkz,kask1239,Athapaskan?,North America,61,-130,Moore 2002,"Moore, Patrick. (2002) Point of View in Kaska Historical Narratives. Indiana University doctoral dissertation.",Corbett 2000
8,Tahltan,tht,tahl1239,Athapaskan?,North America,58.4498,-130.052,Alderete & Blenkiron 2014,"Alderete, John & Amber Blenkiron. (2014) Tahltan grammar synopsis. Ms.",Corbett 2000
9,Karuk,kyh,karo1304,Karok,North America,41.8228,-123.315,Bright 1957,"Bright, William. 1957. The Karok Language. (University of California Publications in Linguistics, 13.) Berkeley and Los Angeles: University of California Press.",Durie 1986; Corbett 2000; Cabredo 2010; Inman & Vuillermet 2024
10,Western Keres,kjq,west2632,Keresan,North America,34.9733,-107.517,Lachler 2005,"Lachler, Jordan. 2005. A grammar of Laguna Keres. Ann Arbor: Albuquerque: University of New Mexico dissertation.",Inman & Vuillermet 2024
